id	name	population	location_type	admin_area_id	sub_admin_area_id	admin_area	sub_admin_area
55662	Colfax		Locality	10187.0	55662	North Carolina	Colfax
10436	Robbins	1201.0	Locality	10187.0	10436	North Carolina	Robbins
12709	Dresden	2924.0	Locality	12445.0	12709	Tennessee	Dresden
63942	Midway		Locality	12445.0	63942	Tennessee	Midway
2606	Cornucopia	96.0	Locality	1860.0	2606	Wisconsin	Cornucopia
10796	Wayne	123248.0	SubAdminArea	10187.0	10796	North Carolina	Wayne
34039	Farmington	23067.0	Locality	33129.0	34031	Minnesota	Dakota County
32403	Lakeside	0.0	Locality	31770.0	32403	Missouri	Lakeside
28263	Hazelton	809.0	Locality	28035.0	28263	Idaho	Hazelton
69776	Prairietown		Locality	2876.0	69776	West Virginia	Prairietown
7900	Guy		Locality	6614.0	7900	Texas	Guy
26980	Thomas	1197.0	Locality	26557.0	26980	Oklahoma	Thomas
65433	Epworth		Locality	915.0	65433	Virginia	Epworth
6550	Columbus	1609.0	Locality	5995.0	6549	New Mexico	Luna County
6460	Hayden		Locality	5995.0	6451	New Mexico	Union County
12040	Mason City	173.0	Locality	11706.0	12033	Nebraska	Custer County
8929	Whitehouse	8317.0	Locality	6614.0	8929	Texas	Whitehouse
22609	Menard	12288.0	SubAdminArea	21659.0	22609	Illinois	Menard
45019	Bertha		Locality	3590.0	45019	Florida	Bertha
14059	Hancock	954.0	Locality	13115.0	14059	New York	Hancock
10279	Nash	94016.0	SubAdminArea	10187.0	10279	North Carolina	Nash
47539	Biggs		Locality	21659.0	47539	Illinois	Biggs
69342	Alpena		Locality	2876.0	3105	West Virginia	Randolph County
35659	Oneida	71.0	Locality	35359.0	35651	Kansas	Nemaha County
4789	Monticello	2395.0	Locality	3590.0	4783	Florida	Jefferson County
8569	Austin	1638716.0	Locality	6614.0	8546	Texas	Travis County
28459	Springfield		Locality	28035.0	28446	Idaho	Bingham County
30349	Englewood	13470.0	Locality	29828.0	30338	Ohio	Montgomery County
7039	San Antonio	2002530.0	Locality	6614.0	7007	Texas	Bexar County
14306	Avon	4764.0	Locality	13115.0	14297	New York	Livingston County
14779	Sand Hill	2342.0	Locality	14499.0	14779	Pennsylvania	Sand Hill
48912	Pleasant Valley		Locality	24391.0	48912	Indiana	Pleasant Valley
48462	Pioneer		Locality	24391.0	48462	Indiana	Pioneer
16759	Byron	1480.0	Locality	16606.0	16759	California	Byron
18649	Kersey	1611.0	Locality	18563.0	18649	Colorado	Kersey
18919	Lewis	140.0	Locality	18563.0	18919	Colorado	Lewis
35929	Edgerton	1771.0	Locality	35359.0	35929	Kansas	Edgerton
23059	Gilman	2823.0	Locality	21659.0	23059	Illinois	Gilman
3056	Comfort	259.0	Locality	2876.0	3056	West Virginia	Comfort
12866	Madisonville	5570.0	Locality	12445.0	12863	Tennessee	Monroe County
15409	Edwardsville	4703.0	Locality	14499.0	15392	Pennsylvania	Luzerne County
22699	Newark	1030.0	Locality	21659.0	22698	Illinois	Kendall County
33319	Long Beach	409.0	Locality	33129.0	33309	Minnesota	Pope County
3169	Chesapeake	1456.0	Locality	2876.0	3163	West Virginia	Kanawha County
12146	Waterbury	69.0	Locality	11706.0	12145	Nebraska	Dixon County
24319	Griffin	22770.0	Locality	23298.0	24314	Georgia	Spalding County
57822	Clifton		Locality	13115.0	13883	New York	Monroe County
1166	Stuart	1379.0	Locality	915.0	1162	Virginia	Patrick County
13789	Lakeland	2512.0	Locality	13115.0	13778	New York	Onondaga County
63132	Greenfield		Locality	39893.0	40277	South Dakota	Clay County
11449	Berlin	37.0	Locality	11160.0	11449	North Dakota	Berlin
39709	Millersburg	1951.0	Locality	39344.0	39709	Oregon	Millersburg
38989	Grayson	5420.0	Locality	38303.0	38989	Kentucky	Grayson
69072	Whetstone		Locality	2876.0	69072	West Virginia	Whetstone
7579	Cisco	3568.0	Locality	6614.0	7579	Texas	Cisco
4856	Farson	114.0	Locality	4804.0	4856	Wyoming	Farson
37729	Webster	9788.0	SubAdminArea	37030.0	37729	Mississippi	Webster
39079	Gallatin	8832.0	SubAdminArea	38303.0	39079	Kentucky	Gallatin
47112	Eagle Point		Locality	21659.0	47112	Illinois	Eagle Point
9176	Lampasas	7121.0	Locality	6614.0	9176	Texas	Lampasas
22519	Lexington	2047.0	Locality	21659.0	22505	Illinois	McLean County
8029	Indianola		Locality	6614.0	8021	Texas	Calhoun County
45469	Ashland		Locality	23298.0	24027	Georgia	Franklin County
2269	Ironton	253.0	Locality	1860.0	2267	Wisconsin	Sauk County
9626	Easton		Locality	9345.0	9625	Louisiana	Evangeline Parish
15573	Dillsburg	2573.0	Locality	14499.0	15573	Pennsylvania	Dillsburg
10960	Mint Hill	26748.0	Locality	10187.0	10960	North Carolina	Mint Hill
68876	Dry Creek		Locality	2876.0	68876	West Virginia	Dry Creek
57806	Catharine		Locality	13115.0	57806	New York	Catharine
19083	Pitkin	71.0	Locality	18563.0	19083	Colorado	Pitkin
41313	Newell		Locality	19743.0	41313	Alabama	Newell
29793	Hampden	470406.0	SubAdminArea	29512.0	29793	Massachusetts	Hampden
54993	Eden		Locality	36387.0	36735	Montana	Cascade County
25540	Fort Dodge	24223.0	Locality	25316.0	25525	Iowa	Webster County
32043	Leawood	671.0	Locality	31770.0	32042	Missouri	Newton County
1420	Marion	7547.0	Locality	915.0	1415	Virginia	Smyth County
3040	Princeton	5822.0	Locality	2876.0	3031	West Virginia	Mercer County
66603	Webster		Locality	915.0	1555	Virginia	Botetourt County
34309	Matawan		Locality	33129.0	34309	Minnesota	Matawan
43152	Five Points		Locality	16606.0	43152	California	Five Points
17659	Ventura	850967.0	SubAdminArea	16606.0	17659	California	Ventura
4766	Gifford	9683.0	Locality	3590.0	4766	Florida	Gifford
63492	Kelso		Locality	12445.0	12462	Tennessee	Lincoln County
33409	Minneapolis	2926757.0	Locality	33129.0	33384	Minnesota	Hennepin County
39259	Franklin	9861.0	Locality	38303.0	39257	Kentucky	Simpson County
14576	Bolivar	442.0	Locality	14499.0	14500	Pennsylvania	Westmoreland County
52129	Delaware		Locality	34363.0	35292	Michigan	Keweenaw County
21979	Cicero	82552.0	Locality	21659.0	21970	Illinois	Cook County
45559	Murrayville		Locality	23298.0	45559	Georgia	Murrayville
40699	Ava		Locality	19743.0	40699	Alabama	Ava
5509	Freehold	11894.0	Locality	5237.0	5509	New Jersey	Freehold
28639	Washburn		Locality	28610.0	28639	Maine	Washburn
32239	Rosendale	143.0	Locality	31770.0	32239	Missouri	Rosendale
32419	Palmyra	3581.0	Locality	31770.0	32419	Missouri	Palmyra
46009	Austinville		Locality	25316.0	46009	Iowa	Austinville
29719	Dedham		Locality	29512.0	29719	Massachusetts	Dedham
5216	Groveton	1253.0	Locality	5125.0	5216	New Hampshire	Groveton
2989	Wayne	39944.0	SubAdminArea	2876.0	2989	West Virginia	Wayne
12686	Summertown	607.0	Locality	12445.0	12686	Tennessee	Summertown
56202	Comet		Locality	10187.0	56202	North Carolina	Comet
49609	Chandlerville		Locality	38303.0	49609	Kentucky	Chandlerville
1999	Viola	676.0	Locality	1860.0	1999	Wisconsin	Viola
12349	Prosser	72.0	Locality	11706.0	12349	Nebraska	Prosser
4159	Sweetwater	21028.0	Locality	3590.0	4095	Florida	Miami-Dade County
9536	Kingston		Locality	9345.0	9526	Louisiana	De Soto Parish
29809	Revere	53993.0	Locality	29512.0	29807	Massachusetts	Suffolk County
17749	Ridgecrest	32579.0	Locality	16606.0	17723	California	Kern County
26659	Pensacola	125.0	Locality	26557.0	26639	Oklahoma	Mayes County
42483	Dozier		Locality	16606.0	42483	California	Dozier
24393	Burney		Locality	24391.0	24393	Indiana	Burney
44823	Adamsville		Locality	1759.0	44823	Delaware	Adamsville
38253	Ridgeville	1755.0	Locality	37763.0	38253	South Carolina	Ridgeville
7270	San Carlos	3011.0	Locality	6614.0	7256	Texas	Hidalgo County
21130	Monticello	9665.0	Locality	20581.0	21126	Arkansas	Drew County
23740	Jeffersonville	939.0	Locality	23298.0	23737	Georgia	Twiggs County
56793	Lynchburg		Locality	11160.0	11161	North Dakota	Cass County
15566	York	448273.0	SubAdminArea	14499.0	15566	Pennsylvania	York
25669	Hills	803.0	Locality	25316.0	25669	Iowa	Hills
2066	Dane	542364.0	SubAdminArea	1860.0	2066	Wisconsin	Dane
42499	Ingomar		Locality	16606.0	42499	California	Ingomar
48282	Kellerville		Locality	24391.0	48282	Indiana	Kellerville
49092	Pollard		Locality	35359.0	49092	Kansas	Pollard
26389	Onawa	2494.0	Locality	25316.0	26389	Iowa	Onawa
3596	Wildwood	6831.0	Locality	3590.0	3591	Florida	Sumter County
54649	Hopewell		Locality	37030.0	37590	Mississippi	Clay County
5756	Weston	2613.0	Locality	5237.0	5733	New Jersey	Somerset County
2246	Fontana	61.0	Locality	1860.0	2233	Wisconsin	Walworth County
16736	Walnut Creek	69773.0	Locality	16606.0	16725	California	Contra Costa County
35389	Portland		Locality	35359.0	35372	Kansas	Sumner County
2966	Harpers Ferry	281.0	Locality	2876.0	2966	West Virginia	Harpers Ferry
29899	Northwood	5396.0	Locality	29828.0	29899	Ohio	Northwood
5149	Bennington		Locality	5125.0	5149	New Hampshire	Bennington
41442	Roseville		Locality	20581.0	20963	Arkansas	Logan County
24949	Madison	17981.0	Locality	24391.0	24942	Indiana	Jefferson County
48372	Monmouth		Locality	24391.0	25204	Indiana	Adams County
47562	Derby		Locality	21659.0	22708	Illinois	Saline County
40002	Castle Rock		Locality	39893.0	39998	South Dakota	Butte County
7916	Perry		Locality	6614.0	7910	Texas	Falls County
10166	Greensburg	666.0	Locality	9345.0	10162	Louisiana	St. Helena Parish
24499	Clermont	1423.0	Locality	24391.0	24488	Indiana	Marion County
14689	Polk	783.0	Locality	14499.0	14689	Pennsylvania	Polk
50982	Ijamsville		Locality	28810.0	50982	Maryland	Ijamsville
39169	Stearns	1260.0	Locality	38303.0	39169	Kentucky	Stearns
70962	Sakai		Locality		70962		Sakai
6589	Winston	54.0	Locality	5995.0	6589	New Mexico	Winston
37909	Bath		Locality	37763.0	37909	South Carolina	Bath
68802	Four Corners		Locality	1860.0	68802	Wisconsin	Four Corners
2516	Colby	1831.0	Locality	1860.0	2516	Wisconsin	Colby
